eventID,l1_x_mm,l1_y_mm,l1_z_mm,l3_x_mm,l3_y_mm,l3_z_mm,pred_x_mm,pred_y_mm,pred_z_mm,act2_x_mm,act2_y_mm,act2_z_mm,err_mm,px1,py1,px3,py3,pixel_pred_x,pixel_pred_y,pixel_act_x,pixel_act_y,px1_mm,py1_mm,px3_mm,py3_mm,pixel_pred_x_mm,pixel_pred_y_mm,pixel_act_x_mm,pixel_act_y_mm
0,-20.899738,6.491995,0.170228,-20.378026,6.477727,10.870228,-20.633859,6.462500,5.175543,-20.638579,6.484662,5.520228,0.345429,24,123,25,123,24,123,24,123,-20.762500,6.462500,-20.487500,6.462500,-20.762500,6.462500,-20.762500,6.462500
1,-23.050934,6.222378,0.170228,-24.621100,17.909559,10.870228,-23.734348,11.719074,5.175543,-23.837083,12.067216,5.520228,0.500565,16,122,10,165,13,142,13,143,-22.962500,6.187500,-24.612500,18.012500,-23.787500,11.687500,-23.787500,11.962500
3,-0.402787,-6.028261,0.170228,-2.602838,-5.171777,10.870228,-1.441630,-5.526576,5.175543,-1.503737,-5.599831,5.520228,0.357815,98,78,90,81,94,79,94,79,-0.412500,-5.912500,-2.612500,-5.087500,-1.512500,-5.637500,-1.512500,-5.637500
4,21.356699,15.711676,0.170228,20.510225,16.788531,10.870228,20.926576,16.327065,5.175543,20.933325,16.250066,5.520228,0.353246,177,157,174,161,176,159,176,159,21.312500,15.812500,20.487500,16.912500,21.037500,16.362500,21.037500,16.362500
5,24.159644,25.723747,0.170228,21.767395,22.226565,10.870228,23.033370,24.040164,5.175543,22.963570,23.975196,5.520228,0.357632,187,193,179,180,183,187,183,187,24.062500,25.712500,21.862500,22.137500,22.962500,24.062500,22.962500,24.062500
6,-9.748503,10.972279,0.170228,-16.196206,19.216694,10.870228,-12.721249,14.721738,5.175543,-12.972290,15.094698,5.520228,0.566506,64,139,41,169,53,153,52,154,-9.762500,10.862500,-16.087500,19.112500,-12.787500,14.712500,-13.062500,14.987500
7,6.375297,27.415604,0.170228,-2.136794,17.967792,10.870228,2.474621,22.988697,5.175543,2.119396,22.692047,5.520228,0.577057,123,199,92,165,108,183,107,182,6.462500,27.362500,-2.062500,18.012500,2.337500,22.962500,2.062500,22.687500
9,3.972104,14.828852,0.170228,6.108183,21.853854,10.870228,5.016630,18.057173,5.175543,5.039860,18.341499,5.520228,0.447425,114,153,122,179,118,165,118,166,3.987500,14.712500,6.187500,21.862500,5.087500,18.012500,5.087500,18.287500
10,-13.064614,-4.455274,0.170228,-14.857906,-3.107148,10.870228,-13.962989,-3.894294,5.175543,-13.961380,-3.781669,5.520228,0.362623,52,83,45,88,49,85,49,86,-13.062500,-4.537500,-14.987500,-3.162500,-13.887500,-3.987500,-13.887500,-3.712500
11,-22.926283,10.016564,0.170228,-23.262041,-5.440966,10.870228,-23.091141,2.833589,5.175543,-23.094926,2.288436,5.520228,0.644992,16,136,15,80,16,110,16,108,-22.962500,10.037500,-23.237500,-5.362500,-22.962500,2.887500,-22.962500,2.337500
12,-11.050253,-24.901774,0.170228,-1.859051,-24.401540,10.870228,-6.763697,-24.630217,5.175543,-6.455367,-24.651320,5.520228,0.462948,59,9,93,11,75,10,76,10,-11.137500,-24.887500,-1.787500,-24.337500,-6.737500,-24.612500,-6.462500,-24.612500
15,-16.149035,-18.869605,0.170228,1.743050,-19.868962,10.870228,-7.725818,-19.352065,5.175543,-7.202896,-19.369890,5.520228,0.626557,41,31,106,27,71,29,73,29,-16.087500,-18.837500,1.787500,-19.937500,-7.837500,-19.387500,-7.287500,-19.387500
17,-7.495397,-12.024907,0.170228,-3.655283,-14.409422,10.870228,-5.761522,-13.120271,5.175543,-5.575468,-13.217244,5.520228,0.403519,72,56,86,47,79,52,79,51,-7.562500,-11.962500,-3.712500,-14.437500,-5.637500,-13.062500,-5.637500,-13.337500
18,-12.316967,-13.461481,0.170228,-6.476476,-13.780347,10.870228,-9.536034,-13.594783,5.175543,-9.396692,-13.620814,5.520228,0.372695,55,51,76,49,65,50,65,50,-12.237500,-13.337500,-6.462500,-13.887500,-9.487500,-13.612500,-9.487500,-13.612500
19,-19.639157,-21.935621,0.170228,-21.167577,-18.457045,10.870228,-20.305706,-20.318805,5.175543,-20.403401,-20.196253,5.520228,0.378644,28,20,23,32,26,26,25,26,-19.662500,-21.862500,-21.037500,-18.562500,-20.212500,-20.212500,-20.487500,-20.212500
20,-15.880699,5.166707,0.170228,-6.180447,5.092182,10.870228,-11.310056,5.087500,5.175543,-11.029850,5.129713,5.520228,0.446212,42,118,77,118,58,118,59,118,-15.812500,5.087500,-6.187500,5.087500,-11.412500,5.087500,-11.137500,5.087500
21,15.332541,6.419846,0.170228,14.979809,5.069796,10.870228,15.133859,5.819294,5.175543,15.156222,5.744489,5.520228,0.353417,155,123,154,118,155,121,155,120,15.262500,6.462500,14.987500,5.087500,15.262500,5.912500,15.262500,5.637500
22,-13.390831,-11.471760,0.170228,-13.664097,-6.376944,10.870228,-13.466141,-9.096957,5.175543,-13.527225,-8.924486,5.520228,0.390238,51,58,50,76,51,66,50,67,-13.337500,-11.412500,-13.612500,-6.462500,-13.337500,-9.212500,-13.612500,-8.937500
24,-3.323637,-5.222554,0.170228,-13.291797,-5.681256,10.870228,-8.068585,-5.344783,5.175543,-8.307868,-5.451359,5.520228,0.432923,87,81,51,79,70,80,69,80,-3.437500,-5.087500,-13.337500,-5.637500,-8.112500,-5.362500,-8.387500,-5.362500
25,-19.733765,-24.177590,0.170228,-23.955555,-25.905613,10.870228,-21.720760,-24.962989,5.175543,-21.844745,-25.041072,5.520228,0.374536,28,12,12,5,21,9,20,8,-19.662500,-24.062500,-24.062500,-25.987500,-21.587500,-24.887500,-21.862500,-25.162500
26,21.345157,20.199307,0.170228,15.113458,17.882931,10.870228,18.353751,19.183370,5.175543,18.229735,19.040518,5.520228,0.393185,177,173,154,165,166,169,166,169,21.312500,20.212500,14.987500,18.012500,18.287500,19.112500,18.287500,19.112500
